Type,Size,Algorithm,Time_ms,Comparisons
almost,1400,MSD_RADIX,0.421214,3356
almost,1400,MSD_RADIX_QUICK,0.169621,10763
almost,1500,QUICKSORT,1.8949,557162
almost,1500,MERGESORT,0.750001,15695
almost,1500,STRING_QUICKSORT,0.31287,39746
almost,1500,STRING_MERGESORT,0.722737,15695
almost,1500,MSD_RADIX,0.471312,3598
almost,1500,MSD_RADIX_QUICK,0.194951,11483
almost,1600,QUICKSORT,2.04976,599810
almost,1600,MERGESORT,0.771079,16852
almost,1600,STRING_QUICKSORT,0.336938,44623
almost,1600,STRING_MERGESORT,0.774678,16852
almost,1600,MSD_RADIX,0.499486,3845
almost,1600,MSD_RADIX_QUICK,0.195323,12291
almost,1700,QUICKSORT,2.14521,645119
almost,1700,MERGESORT,0.808095,17844
almost,1700,STRING_QUICKSORT,0.372661,49681
almost,1700,STRING_MERGESORT,0.803721,17844
almost,1700,MSD_RADIX,0.518759,4091
almost,1700,MSD_RADIX_QUICK,0.205603,13026
almost,1800,QUICKSORT,2.52163,752826
almost,1800,MERGESORT,0.882489,18989
almost,1800,STRING_QUICKSORT,0.395554,53353
almost,1800,STRING_MERGESORT,0.874433,18989
almost,1800,MSD_RADIX,0.55096,4342
almost,1800,MSD_RADIX_QUICK,0.219159,13803
almost,1900,QUICKSORT,2.69874,809832
almost,1900,MERGESORT,0.930584,19823
almost,1900,STRING_QUICKSORT,0.409462,55046
almost,1900,STRING_MERGESORT,0.914378,19823
almost,1900,MSD_RADIX,0.581143,4584
almost,1900,MSD_RADIX_QUICK,0.228884,14567
almost,2000,QUICKSORT,2.89849,868228
almost,2000,MERGESORT,0.982959,20668
almost,2000,STRING_QUICKSORT,0.42612,56917
almost,2000,STRING_MERGESORT,0.965188,20668
almost,2000,MSD_RADIX,0.620625,4820
almost,2000,MSD_RADIX_QUICK,0.250732,15333
almost,2100,QUICKSORT,3.12611,929780
almost,2100,MERGESORT,1.04272,21879
almost,2100,STRING_QUICKSORT,0.444567,59147
almost,2100,STRING_MERGESORT,1.03091,21879
almost,2100,MSD_RADIX,0.652591,5058
almost,2100,MSD_RADIX_QUICK,0.255158,16070
almost,2200,QUICKSORT,3.23329,972568
almost,2200,MERGESORT,1.08093,23556
almost,2200,STRING_QUICKSORT,0.465085,61612
almost,2200,STRING_MERGESORT,1.07112,23556
almost,2200,MSD_RADIX,0.683037,5298
almost,2200,MSD_RADIX_QUICK,0.270373,16881
almost,2300,QUICKSORT,3.89407,1155651
almost,2300,MERGESORT,1.15702,24570
almost,2300,STRING_QUICKSORT,0.492036,64547
almost,2300,STRING_MERGESORT,1.13018,24570
almost,2300,MSD_RADIX,0.722096,5538
almost,2300,MSD_RADIX_QUICK,0.28325,17554
almost,2400,QUICKSORT,3.75653,1118802
almost,2400,MERGESORT,1.20783,26087
almost,2400,STRING_QUICKSORT,0.519701,67653
almost,2400,STRING_MERGESORT,1.20369,26087
almost,2400,MSD_RADIX,0.756615,5783
almost,2400,MSD_RADIX_QUICK,0.294735,18320
almost,2500,QUICKSORT,4.21332,1349644
almost,2500,MERGESORT,1.25119,27145
almost,2500,STRING_QUICKSORT,0.67802,92643
almost,2500,STRING_MERGESORT,1.23997,27145
almost,2500,MSD_RADIX,0.757742,6015
almost,2500,MSD_RADIX_QUICK,0.288636,19037
almost,2600,QUICKSORT,4.21406,1362908
almost,2600,MERGESORT,1.34361,28703
almost,2600,STRING_QUICKSORT,0.721963,98862
almost,2600,STRING_MERGESORT,1.31623,28703
almost,2600,MSD_RADIX,0.78631,6256
almost,2600,MSD_RADIX_QUICK,0.303878,19809
almost,2700,QUICKSORT,5.38526,1715232
almost,2700,MERGESORT,1.41326,30210
almost,2700,STRING_QUICKSORT,0.722432,98201
almost,2700,STRING_MERGESORT,1.37973,30210
almost,2700,MSD_RADIX,0.816805,6495
almost,2700,MSD_RADIX_QUICK,0.302414,20539
almost,2800,QUICKSORT,5.50141,1792193
almost,2800,MERGESORT,1.46556,31734
almost,2800,STRING_QUICKSORT,0.752239,103136
almost,2800,STRING_MERGESORT,1.43583,31734
almost,2800,MSD_RADIX,0.839653,6741
almost,2800,MSD_RADIX_QUICK,0.32216,21352
almost,2900,QUICKSORT,5.53362,1808337
almost,2900,MERGESORT,1.49495,31563
almost,2900,STRING_QUICKSORT,0.790765,108177
almost,2900,STRING_MERGESORT,1.45757,31563
almost,2900,MSD_RADIX,0.867703,6980
almost,2900,MSD_RADIX_QUICK,0.325397,22063
almost,3000,QUICKSORT,5.58543,1976660
almost,3000,MERGESORT,1.53305,32639
almost,3000,STRING_QUICKSORT,0.824007,113260
almost,3000,STRING_MERGESORT,1.5011,32639
almost,3000,MSD_RADIX,0.866842,7217
almost,3000,MSD_RADIX_QUICK,0.316731,22839
