Size,ArrayType,Algorithm,K,Time_us
3100,Random,HybridMergeInsertionSort,10,975
3100,Random,HybridMergeInsertionSort,15,840
3100,Random,HybridMergeInsertionSort,20,839
3100,Random,HybridMergeInsertionSort,30,783
3100,Random,HybridMergeInsertionSort,50,812
3200,Random,StandardMergeSort,0,1959
3200,Random,HybridMergeInsertionSort,5,1219
3200,Random,HybridMergeInsertionSort,10,1001
3200,Random,HybridMergeInsertionSort,15,868
3200,Random,HybridMergeInsertionSort,20,867
3200,Random,HybridMergeInsertionSort,30,812
3200,Random,HybridMergeInsertionSort,50,848
3300,Random,StandardMergeSort,0,2028
3300,Random,HybridMergeInsertionSort,5,1248
3300,Random,HybridMergeInsertionSort,10,1031
3300,Random,HybridMergeInsertionSort,15,893
3300,Random,HybridMergeInsertionSort,20,903
3300,Random,HybridMergeInsertionSort,30,839
3300,Random,HybridMergeInsertionSort,50,841
3400,Random,StandardMergeSort,0,2098
3400,Random,HybridMergeInsertionSort,5,1281
3400,Random,HybridMergeInsertionSort,10,1057
3400,Random,HybridMergeInsertionSort,15,926
3400,Random,HybridMergeInsertionSort,20,925
3400,Random,HybridMergeInsertionSort,30,871
3400,Random,HybridMergeInsertionSort,50,871
3500,Random,StandardMergeSort,0,2173
3500,Random,HybridMergeInsertionSort,5,1310
3500,Random,HybridMergeInsertionSort,10,1085
3500,Random,HybridMergeInsertionSort,15,949
3500,Random,HybridMergeInsertionSort,20,948
3500,Random,HybridMergeInsertionSort,30,895
3500,Random,HybridMergeInsertionSort,50,896
3600,Random,StandardMergeSort,0,2216
3600,Random,HybridMergeInsertionSort,5,1329
3600,Random,HybridMergeInsertionSort,10,1105
3600,Random,HybridMergeInsertionSort,15,1317
3600,Random,HybridMergeInsertionSort,20,977
3600,Random,HybridMergeInsertionSort,30,923
3600,Random,HybridMergeInsertionSort,50,925
3700,Random,StandardMergeSort,0,2290
3700,Random,HybridMergeInsertionSort,5,1361
3700,Random,HybridMergeInsertionSort,10,1135
3700,Random,HybridMergeInsertionSort,15,1004
3700,Random,HybridMergeInsertionSort,20,1000
3700,Random,HybridMergeInsertionSort,30,951
3700,Random,HybridMergeInsertionSort,50,950
3800,Random,StandardMergeSort,0,2347
3800,Random,HybridMergeInsertionSort,5,1396
3800,Random,HybridMergeInsertionSort,10,1170
3800,Random,HybridMergeInsertionSort,15,1034
3800,Random,HybridMergeInsertionSort,20,1031
3800,Random,HybridMergeInsertionSort,30,990
3800,Random,HybridMergeInsertionSort,50,1324
3900,Random,StandardMergeSort,0,3206
3900,Random,HybridMergeInsertionSort,5,1424
3900,Random,HybridMergeInsertionSort,10,1196
3900,Random,HybridMergeInsertionSort,15,1092
3900,Random,HybridMergeInsertionSort,20,1056
3900,Random,HybridMergeInsertionSort,30,1047
3900,Random,HybridMergeInsertionSort,50,1022
4000,Random,StandardMergeSort,0,2479
4000,Random,HybridMergeInsertionSort,5,1462
4000,Random,HybridMergeInsertionSort,10,1225
4000,Random,HybridMergeInsertionSort,15,1183
4000,Random,HybridMergeInsertionSort,20,1096
4000,Random,HybridMergeInsertionSort,30,1087
4000,Random,HybridMergeInsertionSort,50,1047
4100,Random,StandardMergeSort,0,2528
4100,Random,HybridMergeInsertionSort,5,1474
4100,Random,HybridMergeInsertionSort,10,1246
4100,Random,HybridMergeInsertionSort,15,1253
4100,Random,HybridMergeInsertionSort,20,1111
4100,Random,HybridMergeInsertionSort,30,1109
4100,Random,HybridMergeInsertionSort,50,1070
4200,Random,StandardMergeSort,0,2601
4200,Random,HybridMergeInsertionSort,5,1510
4200,Random,HybridMergeInsertionSort,10,1276
4200,Random,HybridMergeInsertionSort,15,1280
4200,Random,HybridMergeInsertionSort,20,1140
4200,Random,HybridMergeInsertionSort,30,1143
4200,Random,HybridMergeInsertionSort,50,1111
4300,Random,StandardMergeSort,0,3014
4300,Random,HybridMergeInsertionSort,5,1549
4300,Random,HybridMergeInsertionSort,10,1303
4300,Random,HybridMergeInsertionSort,15,1339
4300,Random,HybridMergeInsertionSort,20,1169
4300,Random,HybridMergeInsertionSort,30,1175
4300,Random,HybridMergeInsertionSort,50,1136
4400,Random,StandardMergeSort,0,2748
4400,Random,HybridMergeInsertionSort,5,1583
4400,Random,HybridMergeInsertionSort,10,1336
4400,Random,HybridMergeInsertionSort,15,1331
4400,Random,HybridMergeInsertionSort,20,1202
4400,Random,HybridMergeInsertionSort,30,1202
4400,Random,HybridMergeInsertionSort,50,1177
4500,Random,StandardMergeSort,0,2812
4500,Random,HybridMergeInsertionSort,5,1611
4500,Random,HybridMergeInsertionSort,10,1397
4500,Random,HybridMergeInsertionSort,15,1360
4500,Random,HybridMergeInsertionSort,20,1282
4500,Random,HybridMergeInsertionSort,30,1236
4500,Random,HybridMergeInsertionSort,50,1206
4600,Random,StandardMergeSort,0,2872
4600,Random,HybridMergeInsertionSort,5,1634
4600,Random,HybridMergeInsertionSort,10,1387
4600,Random,HybridMergeInsertionSort,15,1385
4600,Random,HybridMergeInsertionSort,20,1257
4600,Random,HybridMergeInsertionSort,30,1257
4600,Random,HybridMergeInsertionSort,50,1233
4700,Random,StandardMergeSort,0,2943
4700,Random,HybridMergeInsertionSort,5,1663
4700,Random,HybridMergeInsertionSort,10,1417
4700,Random,HybridMergeInsertionSort,15,1416
4700,Random,HybridMergeInsertionSort,20,1280
4700,Random,HybridMergeInsertionSort,30,1282
